exit_time,exit_ns,pnl_pips,cum_pnl,drawdown,pair,year
2022-08-04 12:00:00+00:00,1659614400000000,-50.6,200796.7,178.0,AUD_JPY,2022
2022-08-04 12:00:00+00:00,1659614400000000,-43.7,200753.0,221.7,CHF_JPY,2022
2022-08-04 12:00:00+00:00,1659614400000000,-61.7,200691.3,283.4,EUR_JPY,2022
2022-08-04 12:00:00+00:00,1659614400000000,-15.5,200675.8,298.9,NZD_USD,2022
2022-08-04 12:05:00+00:00,1659614700000000,18.9,200694.7,280.0,NZD_JPY,2022
2022-08-04 12:10:00+00:00,1659615000000000,18.0,200712.7,262.0,NZD_CAD,2022
2022-08-04 13:45:00+00:00,1659620700000000,-6.5,200706.2,268.5,AUD_NZD,2022
2022-08-04 14:05:00+00:00,1659621900000000,-9.0,200697.2,277.5,AUD_CAD,2022
2022-08-04 14:20:00+00:00,1659622800000000,-4.6,200692.6,282.1,AUD_CAD,2022
2022-08-04 14:20:00+00:00,1659622800000000,-5.0,200687.6,287.1,NZD_CAD,2022
2022-08-04 14:50:00+00:00,1659624600000000,-7.6,200680.0,294.7,AUD_USD,2022
2022-08-04 15:40:00+00:00,1659627600000000,-5.0,200675.0,299.7,NZD_USD,2022
2022-08-04 15:45:00+00:00,1659627900000000,13.1,200688.1,286.6,GBP_AUD,2022
2022-08-04 15:45:00+00:00,1659627900000000,15.5,200703.6,271.1,USD_CAD,2022
2022-08-04 16:00:00+00:00,1659628800000000,7.2,200710.8,263.9,CHF_JPY,2022
2022-08-04 18:00:00+00:00,1659636000000000,-1.6,200709.2,265.5,AUD_NZD,2022
2022-08-04 18:20:00+00:00,1659637200000000,34.8,200744.0,230.7,AUD_JPY,2022
2022-08-04 18:25:00+00:00,1659637500000000,-7.5,200736.5,238.2,NZD_JPY,2022
2022-08-04 18:50:00+00:00,1659639000000000,30.1,200766.6,208.1,EUR_JPY,2022
2022-08-04 19:10:00+00:00,1659640200000000,26.2,200792.8,181.9,EUR_GBP,2022
2022-08-04 19:45:00+00:00,1659642300000000,10.2,200803.0,171.7,AUD_USD,2022
